shortcode,caption,alt_text,ocr_text,age_days,likes,comments,collected_at
DDnJGoOxhiW,"RUN&ART

Avui hem fet la sortida pre-Xmas 🎄🎅🏼 hem fet un social run 🏃🏽‍♀️, després hem agafat forces amb un bon coffee i un mini brunch 💪🏼☕️, i per acabar, hem pintat ceràmica a @petals_dart 🎨.
Un matí top! Gràcies a totes per venir 💜",,,176,70,4,2025-06-10T15:59:58.625817+00:00
DDnJDH-RNyA,"Easy run and blablabla! 
That’s how we roll! 🏃‍♀️🗣️",,,176,64,1,2025-06-10T16:00:01.170420+00:00
DDRvp-isKNy,"⚠️SÚPER NOTICIA⚠️

La comunidad Sisterhood crece, nos vamos a ELCHE! 🥳 

El próximo domingo 22 de diciembre, haremos nuestra primera salida!! Así que chicas de Elche, ¡¡nos os la podéis perder!!🙌🏽

Haremos un 🏃🏽‍♀️social run de unos 7 km pasando por el centro de Elche y por la ladera del río Vinalopó.
Y terminaremos la ruta en la cafetería más fancy de la ciudad @flamingo.bf ☕️🥐🥞💕

Tienes toda la info en el siguiente link! (Es imprescindible que te apuntes para asistir)

https://athletiks.io/ca/events/pre-xmas-runbrunch-elche-22-de-desembre-del-2024-4a18fe

(Lo dejamos también en el perfil!)

Así que chicas runners de Elche, nos vemos el domingo 22 con muuuchas ganas 🏃🏼‍♀️💜",,,185,55,4,2025-06-10T16:00:02.179848+00:00
DDPs1xRsj5_,,,,185,15,0,2025-06-10T16:00:02.809580+00:00
DC7DHSXMXaP,Vols la nostra samarreta??,,,193,47,1,2025-06-10T16:00:04.666622+00:00
DCy4FAvMxy0,"There’s no bad pace,
just the wrong mindset 👊🏼

/ foto @arnauwens /",,,197,50,0,2025-06-10T16:00:05.911782+00:00
DCrGHglMCYf,"Tag your running bestie 
🤜🏼🤛🏼

/ Foto @arnauwens /",,,200,102,6,2025-06-10T16:00:15.101174+00:00
DCl79JgsPeW,"Running is empowering 💪🏼💜

/ Foto @arnauwens /",,,202,46,2,2025-06-10T16:00:16.426731+00:00
DCWdQKJMH7C,,,,208,23,0,2025-06-10T16:00:18.053449+00:00
DCB3aL_sact,"Setmana de sortejos! 🥳🙌🏼

Guanya dos dorsals (un per tu i un pel teu/va acompanyant) pel 9è Circuit de Curses Populars del Pla de l’Estany (Banyoles, Porqueres, Cornellà del Terri, Camós, Fontcoberta i Serinyà)! 
Només has de:
1. Seguir a @sisterhoodrunningclub i a @ceplaestany 
2. Like a aquesta publicació 
3. Nombra a qui liaries per fer el circuit de les 6 curses 
(Com sempre, no val repetir persones ni nombrar a comptes falsos)

Tens fins el dia 12.11 a les 23.59h per participar! Direm els dos guanyadors el dia 13.11!

Molta sort 🍀",,,216,178,250,2025-06-10T16:00:19.560735+00:00
DB88bPjsEi7,"⚠️SORTEIG TANCAT⚠️

Hello🙋🏽‍♀️!
T’agradaria participar a la CMG by @klassmark aquest proper 17 de novembre?? 
SORTEGEM 2 DORSALS de la mà de @suuntoesp 🥳💥 podràs triar entre una de les tres distàncies (50k +1300M / 20,5k +800M / 12,7k +500M)
T’ho posem molt fàcil, només has de: 

1. Seguir a @sisterhoodrunningclub @suuntoesp i @klassmark 
2. Nombrar a una persona amb qui t’agradaria córrer la cursa 

El sorteig es tancarà el dia 7 a les 23:59h i el divendres dia 8 direm els dos guanyadors/es!",,,218,102,167,2025-06-10T16:00:24.457675+00:00
DBrD25tsIeM,"Brunch post run 🙌🏼 with @air_nuts 

@myfoodxevents",,,225,58,4,2025-06-10T16:00:25.767778+00:00
DBeVNFrMXzo,"El pròxim dissabte 16 de novembre, Nari-nant Social Run & Sisterhood Running Club organitzen un esdeveniment a espai Casa Sabater, on es combinaran el running i la nutrició esportiva amb la nutricionista Laia Vinyals de Nutrivinyi. 🌸

És una trobada oberta a tothom qui estigui interessat en el running, la nutrició esportiva, però sobretot està pensada per poder passar una bona estona compartint la nostra passió. 

A continuació detallem els aspectes importants de l’esdeveniment:

📅 Data i hora:

•	Dissabte, 16 de novembre de 2024
•	Horari: 10:00 AM - 13 AM

📍 Lloc:

•	espai Casa Sabater, Girona	
Un oasis urbà al cor de de la ciutat de Girona.

Aquí ens reunirem, i també podrem deixar les coses que no necessitem a l’hora de córrer. I també és on farem la xerrada sobre nutrició esportiva de la mà de Laia Vinyals @nutrivinyi , mentre preparem i degustem un súper esmorzar, acabant amb una ronda de preguntes. 

🏃‍♀️🏃‍♂️ Social Run:

•	Distància: 6,5 km aprox
Un recorregut ideal per a tots els nivells, amb un ritme aproximat de 5:45 min/km – 6:00min/km. Es tracta d’una activitat social que promou l’esport en comunitat. L’objectiu és gaudir de córrer junts, compartir l’experiència i passar una bona estona. 

•	Participació:
Tothom és benvingut! L’esdeveniment està obert a tothom. 
Preu: 15 euros/persona (inclou: lloguer de l’espai, nutricionista, el menjar que es prepararà durant la xerrada i fotògraf). 

•	Inscripcions: Link in bio

🍽️ Nutrició Esportiva (Nutrivinyi):
Es realitzarà una sessió informativa centrada en la nutrició esportiva enfocat amb el running. Aquesta xerrada serà dirigida per la nutricionista Laia Vinyals, que oferirà una assessorament nutricional per a esportistes mentre preparem i degustem un esmorzar healthy.

T’apuntes? 🙃",,,229,191,7,2025-06-10T16:00:27.962707+00:00
DBeFqwusRPT,,,,230,21,0,2025-06-10T16:00:29.398533+00:00
DA8leCvsunP,Everything is hard before it gets easy 💪🏼,,,243,74,3,2025-06-10T16:00:34.585538+00:00
DA6nwYdoFdO,"SÚPER AGRADECIDA de que @sisterhoodrunningclub contase conmigo el pasado domingo para dar una clase de pilates a un GRUPAZO de runners 🏃🏼‍♀️ y ciclistas 🚴🏼‍♀️ en Campllong

Deporte, naturaleza, comunidad, brunch, sorpresas y muy buena energía 

Moltes gràcies noies🤍 @nis_de_anais @carlota.d.r @ggumbau11",,,243,131,7,2025-06-10T16:00:35.826802+00:00
DAYJfefsMho,Own your slow before you find your fast 👊🏼,,,257,52,0,2025-06-10T16:00:38.263839+00:00
DADmcDaMBhT,"I avui, un dimecres més amb Sisterhood! T’apuntes??",,,265,32,0,2025-06-10T16:00:41.333323+00:00
C_NfIUns2N9,A punt per tornar als #dimecres de Sisterhood??,,,286,48,0,2025-06-10T16:00:43.305765+00:00
C-xI73wMlwm,"Summer run = happy run ☀️
@zelhotels",,,297,61,2,2025-06-10T16:00:46.129735+00:00
C-K61tlsL9c,"I per tu, què és #Sisterhood?
💜

#running #girona #runninggirona #gironarunning #runninggirl #comunity #runningclub",,,312,110,12,2025-06-10T16:00:48.698786+00:00
C-IBXAjMml1,Summer runs = blurred runs,,,313,30,0,2025-06-10T16:00:50.848923+00:00
C9wxCfasXCA,"Com sempre, diumenge va ser un dia 🔝! 
Vam unir run 🏃🏽‍♀️ i bici 🚴🏽‍♀️, amb uns bons estiraments 🧘🏽‍♀️ de la mà de la @bego_womancare i el millor recovery gràcies a la @marionafalco 🍰🍉, tot això a l’ @eclectic.emporda , un hortet amb molt d’encant al poble de Monells.

I així vam donar la benvinguda a les vacances ⛱️☀️!
Ens veiem al setembre noies! Bon estiu 💜",,,322,135,6,2025-06-10T16:00:57.059830+00:00
C9mbIzWMsk3,,,,326,27,0,2025-06-10T16:00:59.605532+00:00
C9ecgGKseu0,🫶🏼,,,329,53,3,2025-06-10T16:01:01.019148+00:00
C9XoK4jM7II,"Parem, 
fem uns riures i seguim! 😝",,,331,74,0,2025-06-10T16:01:02.973080+00:00
C9PW8DPs45Z,"Summer runs! 🔥

📸 @ainaponsf",,,335,48,2,2025-06-10T16:01:04.499587+00:00
C9Io6D1sACq,"Run&Girobeer!
Millor pla, impossible! 
🏃🏽‍♀️🍻",,,337,121,5,2025-06-10T16:01:10.557615+00:00
C9Fm_bEsJQ8,"La recuperació és tant o més important que el mateix entrenament. 
✍🏼 Apunta aquests tips per una bona recuperació: alimenta’t bé 🥑🍗, fes vida social 👯‍♀️, exposa’t una estoneta al sol☀️, hidrata’t bé🥤, medita🧘🏽‍♀️, respira i agafa aire i descansa bé 😴.
A part, també podem fer una recuperació activa després de dies d’entrenament durs, o post cursa, com per exemple: fer exercicis de baix impacte com ciclisme🚴🏽‍♀️, rem🚣🏽‍♀️ o el·líptica, els exercicis de força amb un pes lleuger (un 30% menys del que fas habitualment) 🏋🏽‍♀️, practica ioga 🤸🏼‍♀️, natació 🏊🏽‍♀️ o camina 🚶🏾‍♀️",,,338,18,1,2025-06-10T16:01:11.835032+00:00
C8zF4AXMqP2,"Cafè i riures pre run! 

@zelhotels 
@ainaponsf",,,346,51,1,2025-06-10T16:01:14.270771+00:00
C8zEhkoMaHy,"💦🍶

@zelhotels
@ainaponsf",,,346,32,0,2025-06-10T16:01:15.270992+00:00
C8pLUuOs5KF,"3, 2, 1
GOO!

@ainaponsf",,,350,50,0,2025-06-10T16:01:16.097590+00:00
