timestamp,metric,dimension,value
2025-05-16T20:33:56.919455,followers_count,total,2172
2025-05-16T20:34:02.328357,followers_count,total,2172
2025-05-16T20:34:09.141643,followers_count,total,2172
2025-05-16T20:34:14.696520,followers_count,total,2172
2025-05-16T20:34:20.162915,followers_count,total,2172
2025-05-16T20:34:25.957829,followers_count,total,2172
2025-05-16T20:34:31.299383,followers_count,total,2172
2025-05-16T20:34:37.035895,followers_count,total,2172
2025-05-16T20:34:42.332352,followers_count,total,2172
2025-05-16T20:34:48.820065,followers_count,total,2172
2025-05-16T20:34:54.281543,followers_count,total,2172
2025-05-16T20:35:00.207149,followers_count,total,2172
2025-05-16T20:35:07.792459,followers_count,total,2172
2025-05-16T20:35:13.470902,followers_count,total,2172
2025-05-16T20:35:18.937615,followers_count,total,2172
2025-05-16T20:35:24.323218,followers_count,total,2172
2025-05-16T20:35:29.703822,followers_count,total,2172
2025-05-16T20:35:35.588647,followers_count,total,2172
2025-05-16T20:35:41.284093,followers_count,total,2172
2025-05-16T20:35:46.787857,followers_count,total,2172
2025-05-16T20:35:51.980233,followers_count,total,2172
2025-05-16T20:35:57.994318,followers_count,total,2172
2025-05-16T20:36:03.801336,followers_count,total,2172
2025-05-16T20:36:10.287139,followers_count,total,2172
2025-05-16T20:36:16.488599,followers_count,total,2172
2025-05-16T20:36:22.389425,followers_count,total,2172
2025-05-16T20:36:27.801240,followers_count,total,2172
2025-05-16T20:36:33.502542,followers_count,total,2172
2025-05-16T20:36:39.050137,followers_count,total,2172
2025-05-16T20:36:44.636779,followers_count,total,2172
2025-05-16T20:36:50.552974,followers_count,total,2172
2025-05-16T20:36:56.288801,followers_count,total,2172
2025-05-16T20:37:03.867292,followers_count,total,2172
2025-05-16T20:37:09.065205,followers_count,total,2172
2025-05-16T20:37:14.649956,followers_count,total,2172
2025-05-16T20:37:20.095783,followers_count,total,2172
2025-05-16T20:37:25.387709,followers_count,total,2172
2025-05-16T20:37:30.862817,followers_count,total,2172
2025-05-16T20:37:36.089734,followers_count,total,2172
2025-05-16T20:37:44.011474,followers_count,total,2172
2025-05-16T20:37:49.733298,followers_count,total,2172
2025-05-16T20:37:55.077081,followers_count,total,2172
2025-05-16T20:38:00.517605,followers_count,total,2172
2025-05-16T20:38:06.140503,followers_count,total,2172
2025-05-16T20:38:12.321761,followers_count,total,2172
2025-05-16T20:38:17.614436,followers_count,total,2172
2025-05-16T20:38:25.608355,followers_count,total,2172
2025-05-16T20:38:30.783763,followers_count,total,2172
2025-05-16T20:38:36.400914,followers_count,total,2172
2025-05-16T20:38:41.450084,followers_count,total,2172
2025-05-16T20:38:48.163544,followers_count,total,2172
2025-05-16T20:38:54.226167,followers_count,total,2172
2025-05-16T20:39:00.019454,followers_count,total,2172
2025-05-16T20:39:05.095125,followers_count,total,2172
2025-05-16T20:39:10.283231,followers_count,total,2172
2025-05-16T20:39:15.599932,followers_count,total,2172
2025-05-16T20:39:21.094977,followers_count,total,2172
2025-05-16T20:39:26.643544,followers_count,total,2172
2025-05-16T20:39:32.253466,followers_count,total,2172
2025-05-16T20:39:37.620497,followers_count,total,2172
2025-05-16T20:39:43.093918,followers_count,total,2172
2025-05-16T20:39:48.831338,followers_count,total,2172
2025-05-16T20:39:54.104397,followers_count,total,2172
2025-05-16T20:39:59.607357,followers_count,total,2172
2025-05-16T20:40:05.689785,followers_count,total,2172
2025-05-16T20:57:56.568214,followers_count,total,2172
2025-05-16T20:58:03.113616,followers_count,total,2172
2025-05-16T20:58:08.180580,followers_count,total,2172
2025-05-16T20:58:13.293288,followers_count,total,2172
2025-05-16T20:58:18.479343,followers_count,total,2172
